decimalLatitude,decimalLongitude
25.533826,-80.49247
25.500386,-80.444458
25.733522,-80.253783
27.469821,-80.291562
25.79575,-80.185822
25.611022,-80.40217
27.423838,-80.352945
25.125672,-80.407845
25.500334,-80.444308
25.468711,-80.477557
25.717695,-80.296917
25.698335,-80.305172
25.611483,-80.398582
25.705545,-80.398405
25.500751,-80.444086
25.610604,-80.397357
26.953313,-80.082939
27.452304,-80.32865
25.619281,-80.321459
25.6739,-80.461922
25.447333,-80.502194
27.184396,-80.3274
27.249924,-80.399132
25.590881,-80.419886
25.609722,-80.399444
25.681149,-80.272341
29.682178,-82.605459
25.125002,-80.405567
27.22803,-80.212998
25.63019,-80.35833
25.610971,-80.397847
27.576081,-80.595712
27.241254,-80.371322
27.091099,-80.296106
25.75495,-80.378088
26.978742,-80.082878
25.122894,-80.407889
25.677317,-80.273943
25.3824,-80.606461
25.663968,-80.407244
26.9398,-82.0269
25.680517,-80.273017
27.065489,-81.105089
25.743604,-80.210711
27.67407,-80.406717
25.604849,-80.396541
27.755427,-80.421403
25.743423,-80.21141
27.130653,-80.169474
25.300809,-80.705628
27.225415,-80.224332
25.659045,-80.383721
25.85771,-80.178974
25.62953,-80.358955
25.351442,-80.458818
26.099006,-80.314536
25.125164,-80.405869
25.4479,-80.475796
26.098872,-80.3154
25.024304,-80.495004
25.463142,-80.34623
25.794274,-80.185514
27.384693,-82.55737
25.53545,-80.542687
25.677636,-80.275569
27.017536,-80.110375
25.124595,-80.402736
25.534938,-80.493605
25.731189,-80.398942
25.826015,-80.263199
25.719461,-80.27797
25.679278,-80.272908
25.758653,-80.373213
25.759825,-80.373725
25.723008,-80.28
25.791361,-80.211153
27.653319,-80.355414
25.426895,-80.501708
25.737906,-80.309653
27.629358,-80.389036
25.614778,-80.308678
25.681652,-80.272033
27.613805,-80.347245
25.701706,-80.453503
25.67752,-80.275637
25.920286,-80.137948
25.793092,-80.211797
25.44789,-80.479224
25.446638,-80.484275
25.624533,-80.375672
25.465004,-80.334479
25.611625,-80.400913
25.720913,-80.258452
27.137525,-80.23993
25.719298,-80.278105
27.008738,-80.112706
25.738388,-80.22594
25.681688,-80.271897
25.669978,-80.286308
25.679917,-80.274322
25.447512,-80.501785
25.674879,-80.375332
25.778007,-80.130647
25.743183,-80.211358
25.743555,-80.210992
25.124596,-80.405733
25.44363,-80.473654
27.586366,-80.422916
25.099445,-80.435555
25.375802,-80.760047
25.74406,-80.210453
25.629362,-80.358488
25.200236,-80.31443
26.1156,-81.7551
25.686852,-80.366
25.609741,-80.398651
25.634896,-80.337876
25.126082,-80.406269
25.668737,-80.378272
27.31504,-80.355506
25.613017,-80.373497
27.152747,-80.244658
25.668355,-80.433778
27.442937,-80.272561
25.542165,-80.403654
25.478175,-80.430305
25.7424,-80.213647
25.679583,-80.274356
25.748587,-80.766924
25.657991,-80.383893
25.443891,-80.47574
25.678203,-80.275019
25.125206,-80.406045
25.447628,-80.501928
25.63238,-80.314967
25.720647,-80.32151
27.160167,-80.269112
27.16396,-80.193269
25.681634,-80.271884
27.472737,-80.285789
25.12503,-80.406327
27.425277,-80.358197
25.61478,-80.249691
28.13204,-80.62709
25.125427,-80.405678
25.125187,-80.406623
27.2701,-80.20385
25.574202,-80.453538
25.481505,-80.48267
25.610867,-80.398057
27.688766,-80.412833
25.121335,-80.405395
26.938758,-80.199989
25.70702,-80.260497
25.744095,-80.210476
26.891442,-80.06703
25.743645,-80.211886
25.555069,-80.390127
26.275017,-80.152069
25.395335,-80.58374
27.521298,-80.311209
25.765938,-80.257963
27.830219,-80.487606
25.677093,-80.274254
25.627305,-80.407562
25.6817,-80.271881
25.393758,-80.50097
27.954262,-82.402083
25.463597,-80.333497
28.54057,-82.408103
26.817587,-80.475283
27.47406,-80.313193
25.605811,-80.397492
27.264991,-80.201096
25.744238,-80.209983
25.125832,-80.40596
25.706783,-80.297622
27.202057,-80.202996
25.429942,-80.589969
25.495909,-80.493363
26.934362,-80.092803
25.609506,-80.285485
27.632487,-80.356675
25.604844,-80.429259
25.719455,-80.277847
25.474749,-80.445423
25.42712,-80.459882
25.743942,-80.210422
25.692542,-80.370658
25.744348,-80.210524
25.644132,-80.338636
25.791327,-80.21122
26.010573,-80.136473
25.719442,-80.2771
25.125084,-80.405724
27.243448,-80.830144
25.600943,-80.403795
25.467699,-80.520418
25.629545,-80.358955
26.190954,-81.68796
26.587861,-80.106443
25.720862,-80.278757
25.691167,-80.426932
27.277942,-80.319053
28.010119,-82.138322
28.433339,-81.71063
25.448257,-80.474343
28.144395,-81.075471
25.678154,-80.273676
25.43483,-80.494219
25.124591,-80.406179
25.760241,-80.795409
28.421808,-81.372222
26.877123,-80.052473
27.469488,-80.291412
25.71036,-80.284736
25.75695,-80.765278
27.432691,-80.323313
27.162256,-80.337412
25.124639,-80.406028
25.656537,-80.441403
25.593908,-80.341425
27.686155,-80.408469
27.20619,-80.205034
27.242686,-80.281367
25.125246,-80.406076
25.446751,-80.502473
28.135342,-80.631931
27.60065,-80.339604
27.282765,-80.44831
25.743971,-80.210571
25.62953,-80.358505
27.731331,-80.891076
26.987297,-80.60669
27.691033,-80.374413
25.788574,-80.128312
25.733214,-80.386655
25.70418,-80.347088
25.720155,-80.277468
25.670204,-80.286104
25.718655,-80.278328
25.462951,-80.346191
25.729446,-80.433348
25.752263,-80.304299
25.743778,-80.210695
25.677633,-80.275531
25.880183,-80.458453
27.423321,-80.35892
27.425272,-80.358195
25.694018,-80.373105
26.822357,-80.0431
25.581925,-80.48938
25.771316,-80.336535
27.200001,-80.239998
25.548775,-80.442262
27.618422,-80.435768
25.600912,-80.380311
25.439327,-80.506334
25.681692,-80.272122
25.771487,-80.140169
25.743985,-80.210532
25.605728,-80.397433
25.751628,-80.225403
25.677157,-80.275538
25.610355,-80.398138
27.377419,-80.307892
25.681572,-80.271919
25.12508,-80.406659
27.422254,-80.356989
25.746025,-80.205811
25.464275,-80.33548
25.795795,-80.365632
27.446706,-80.325606
25.38243,-80.609542
25.405173,-80.502112
25.663961,-80.407204
25.74409,-80.210484
25.685988,-80.393977
27.126331,-80.341347
25.500615,-80.444298
25.70419,-80.34435
25.690261,-80.368423
25.740238,-80.221925
25.027536,-80.492753
26.93275,-80.085186
25.698163,-80.333437
28.10895,-80.699522
28.68695,-80.877342
27.224112,-80.273872
25.768818,-80.188119
26.933678,-82.054747
27.446706,-80.325606
25.500378,-80.444612
28.120272,-80.703736
25.113694,-80.416936
27.356829,-80.350947
27.464681,-80.421812
25.677233,-80.27481
27.205591,-80.195318
27.243347,-80.830291
25.678361,-80.274869
25.12508,-80.406026
25.646761,-80.406937
25.763013,-80.280762
27.561461,-80.32282
24.97338,-80.475118
25.0278,-80.492676
25.442112,-80.533931
27.469804,-80.291551
25.605322,-80.398033
25.72056,-80.279053
25.743578,-80.211127
25.605334,-80.398853
25.942333,-80.147133
25.465224,-80.334648
25.661602,-80.306374
25.522884,-80.491567
25.447308,-80.501892
25.743963,-80.211953
25.610662,-80.397867
27.352128,-80.245347
24.692353,-81.085384
27.229238,-80.298096
24.817482,-80.82209
25.736279,-80.301235
27.254541,-80.22977
25.625813,-80.44742
25.677772,-80.275442
27.201612,-80.256653
25.678742,-80.273651
27.470559,-80.29024
25.891481,-81.270859
25.762005,-80.25747
26.978784,-80.082939
25.743553,-80.211179
25.74486,-80.210191
27.271439,-80.320917
25.463496,-80.346634
25.626305,-80.447983
26.690954,-80.057749
27.277392,-80.387245
25.67908,-80.256295
26.198682,-81.688429
25.443645,-80.473736
25.125117,-80.406503
25.540092,-80.327667
25.678612,-80.273612
25.582617,-80.324285
25.678989,-80.274866
28.841911,-81.672335
27.229252,-80.298132
27.215428,-80.178219
25.500601,-80.444236
27.243608,-80.226975
25.70668,-80.26023
25.464337,-80.33551
25.624335,-80.37453
25.484259,-80.653094
25.564493,-80.424815
25.447017,-80.501732
26.934517,-80.119728
25.54007,-80.327713
25.113694,-80.416936
25.604588,-80.39722
27.132538,-80.205421
27.126437,-80.341132
27.160833,-80.337219
25.761528,-80.372528
25.465686,-80.32916
26.980333,-80.085599
25.085556,-80.441389
25.125095,-80.405438
25.629703,-80.358658
25.718349,-80.278121
25.677697,-80.275515
25.731314,-80.398911
25.72475,-80.240403
24.979937,-80.570038
25.678816,-80.273834
25.520849,-80.494549
25.611154,-80.398142
26.951047,-82.060555
25.603131,-80.398463
25.746942,-80.388397
25.682734,-80.347985
24.594679,-81.662117
27.314759,-80.407542
25.678742,-80.273651
27.273334,-80.358226
25.442448,-80.474263
25.676325,-80.272846
27.109556,-80.258576
25.681667,-80.271794
25.426265,-80.475931
25.477308,-80.424325
25.600857,-80.406165
25.636189,-80.33696
25.74434,-80.211816
25.785,-80.2575
27.222695,-81.342176
25.692822,-80.368797
25.614263,-80.308058
27.418397,-80.323808
25.609942,-80.397575
25.681037,-80.444108
25.610353,-80.397187
25.090634,-80.440573
25.464725,-80.345698
27.244721,-80.311557
25.677742,-80.275317
25.743253,-80.211578
25.125246,-80.406076
25.6764,-80.389555
25.124886,-80.405372
25.664647,-80.406975
25.60333,-80.310562
25.447123,-80.501657
27.614778,-80.418787
25.125246,-80.406076
25.795745,-80.186363
26.06632,-80.209275
25.611563,-80.339875
25.574834,-80.451122
26.94365,-80.073066
25.679228,-80.256602
25.74395,-80.210465
27.215463,-80.178385
25.125072,-80.40583
25.447139,-80.502075
27.47029,-80.333768
25.678447,-80.274192
25.744289,-80.210461
25.464612,-80.333894
25.744189,-80.211022
25.12525,-80.405787
25.468996,-80.479374
25.695417,-80.334013
25.67888,-80.273505
25.981113,-80.24893
25.678742,-80.273651
25.125257,-80.406076
25.67723,-80.273138
25.041236,-80.497347
25.670033,-80.285881
25.791471,-80.211269
25.714277,-80.413987
24.980358,-80.549462
27.521837,-80.397534
25.678742,-80.273651
25.680837,-80.315688
27.209623,-80.173733
25.545367,-80.47975
25.680971,-80.27255
28.70825,-80.887968
25.681933,-80.271886
25.025602,-80.493665
27.225476,-80.258993
25.75522,-80.371972
25.681759,-80.473719
25.718155,-80.296325
27.258224,-80.202179
25.492665,-80.542385
26.942192,-82.030105
25.468722,-80.477557
27.749442,-80.434883
25.125053,-80.405744
25.601295,-80.39428
