decimalLatitude,decimalLongitude
26.053756,-80.200355
27.471613,-81.538528
25.723472,-80.280243
26.319138,-80.187545
27.30063,-82.52497
27.0867,-82.445908
26.677845,-80.049447
28.603353,-81.198747
24.778928,-81.549309
28.01386,-82.470576
29.64129,-82.429168
28.610277,-81.271545
27.930769,-82.750022
29.542434,-81.262879
25.602212,-80.330181
28.683747,-81.148889
28.529229,-81.344263
25.714014,-80.303436
28.396725,-81.556572
29.612639,-82.4077
28.60506,-81.198718
29.114533,-82.255112
28.361623,-81.593873
26.475476,-82.148745
28.853736,-80.772672
28.060833,-82.416751
26.221957,-80.190983
25.715311,-80.271142
26.460627,-82.131254
28.651991,-81.130844
29.893014,-81.315598
28.533012,-81.237992
25.953975,-80.128244
25.679622,-80.327233
27.732531,-82.657283
25.031953,-80.503853
27.704359,-82.731343
28.558968,-81.904606
28.311977,-82.06619
26.52362,-82.193345
26.371587,-81.781208
27.480892,-82.600845
25.902895,-80.309463
25.145913,-80.391359
28.49202,-82.667378
25.72112,-80.277337
25.625891,-80.318765
28.033322,-82.425317
29.645503,-82.317762
26.323603,-80.077691
26.017908,-81.70679
28.097108,-82.583173
27.224325,-82.518447
29.699545,-82.363721
29.840574,-82.587331
27.244388,-82.29957
28.037256,-82.406029
27.837689,-82.216042
28.090281,-82.429847
25.083514,-80.402591
28.145711,-82.466035
28.559616,-81.335136
26.004461,-80.39302
28.115186,-82.387817
27.328058,-82.539995
28.359725,-81.560713
26.226229,-80.109265
28.093658,-82.706055
25.6023,-80.330202
28.075308,-82.375987
24.659258,-81.276956
28.068211,-81.714153
25.713778,-80.30262
25.652627,-80.312539
26.000539,-80.25602
25.95333,-80.341393
24.742023,-80.982779
28.065108,-82.408211
29.080695,-82.276825
29.617278,-82.81395
28.404067,-81.477555
25.701921,-80.314207
26.552822,-80.715507
29.202152,-81.035162
25.638433,-80.321756
27.240279,-82.315176
28.005065,-82.502737
25.403524,-80.654688
26.466745,-81.772287
28.06457,-82.410559
24.627766,-82.872072
27.664827,-81.515753
26.575183,-81.823387
28.058261,-82.41915
25.911144,-80.204391
27.798445,-82.78492
29.07879,-80.921436
28.037818,-81.941013
28.910632,-81.974039
25.582555,-80.330437
27.92842,-82.765175
26.807074,-80.170094
25.742817,-80.347488
28.460859,-81.46523
28.71685,-81.155758
25.895945,-80.215575
26.220978,-81.640312
27.819632,-82.632737
25.652516,-80.312372
24.547132,-81.808829
28.075136,-82.415469
26.318412,-80.099766
25.77103,-80.236641
28.051327,-82.54303
28.572192,-81.55019
29.662821,-82.335662
25.125253,-80.411613
26.102114,-80.219283
26.323812,-80.07775
25.684448,-80.407623
25.640327,-80.363237
28.016934,-82.512181
25.528556,-80.397841
27.173604,-82.464022
29.655545,-82.370165
28.150776,-82.234646
27.782009,-82.762823
25.638097,-80.310299
27.368228,-82.627463
28.033175,-82.780991
27.924975,-81.959945
27.307117,-82.257281
25.636536,-80.305004
28.066012,-82.408865
26.703794,-82.153832
26.07512,-80.354588
28.503308,-81.422162
26.036874,-81.682048
25.676785,-80.310495
25.953929,-80.12834
25.127196,-80.408611
26.500559,-81.983841
28.039759,-82.444136
26.874246,-82.027254
25.603997,-80.398228
25.879879,-80.349033
25.667628,-80.35797
27.290294,-82.245759
29.655176,-82.344961
25.699225,-80.163536
27.897713,-82.600711
26.323797,-80.077719
25.58749,-80.400716
25.953682,-80.128369
25.630792,-80.321092
25.715677,-80.272354
26.43669,-82.125918
28.509063,-81.07086
28.294963,-82.795271
25.640315,-80.359797
29.683454,-82.367036
25.652431,-80.312685
26.375611,-81.604108
27.841103,-82.670463
26.428638,-82.080721
25.50452,-80.410725
27.275555,-82.565552
27.941867,-82.450398
26.492277,-81.534122
27.142912,-80.69091
25.710558,-80.374505
27.438545,-82.683786
25.382095,-80.609099
29.62302,-82.421775
29.890803,-81.313522
25.54624,-80.444563
28.013222,-82.63385
28.636181,-81.360001
28.137459,-82.325264
28.223076,-82.180695
28.072144,-82.377625
25.731096,-80.398517
29.183573,-81.707828
28.047275,-81.74929
25.740117,-80.309303
27.828461,-82.789406
29.621397,-82.36435
28.073886,-82.375349
28.593961,-81.199483
28.129444,-80.579122
25.910416,-80.140451
27.928438,-82.162143
27.94262,-82.458182
25.665571,-80.285731
28.061997,-82.413108
27.9219,-82.236847
25.691209,-80.362182
27.654725,-82.673344
28.410667,-81.468921
28.251738,-80.718497
26.501031,-81.970795
25.714555,-80.285255
28.364055,-81.50685
26.777967,-81.743722
28.008534,-82.678319
25.615168,-80.280023
25.774277,-80.300224
29.599824,-81.266607
28.516142,-82.629226
27.60242,-82.761162
26.179868,-80.249983
28.066286,-82.410287
26.944166,-80.076195
28.474508,-81.316793
29.60802,-82.439683
28.068625,-82.423467
25.582588,-80.330575
28.090021,-82.514532
26.922055,-80.153642
26.658379,-80.218086
28.825875,-81.642487
25.603153,-80.345253
25.769453,-80.273241
24.81413,-80.82181
28.799313,-82.587372
28.706728,-81.28067
25.284666,-80.299835
27.325565,-82.433598
28.601583,-81.192197
28.073871,-82.375376
28.335495,-81.532662
25.461945,-80.336594
25.325098,-80.833282
25.7043,-80.1579
27.988294,-82.410837
27.988245,-82.410832
28.013227,-82.498682
27.988476,-82.409304
28.575724,-81.483963
27.988298,-82.410719
28.575225,-81.484075
28.461562,-81.467891
28.575111,-81.483877
28.575154,-81.4839
28.574924,-81.483974
28.5751,-81.483848
28.574743,-81.484511
27.989741,-82.410834
27.988455,-82.410814
28.578913,-81.474276
27.989018,-82.410522
28.014374,-82.499127
27.988366,-82.410704
26.6105,-81.8848
25.7043,-80.1579
26.6826,-81.8021
24.564083,-81.795433
24.55607,-81.77767
26.08791,-80.17045
25.70109,-80.29338
25.7248,-80.2741
26.08791,-80.17045
25.7248,-80.2741
28.0545,-82.41381
26.08791,-80.17045
24.564083,-81.795433
25.70109,-80.29338
25.70109,-80.29338
26.08791,-80.17045
25.7248,-80.2741
24.55607,-81.77767
24.556417,-81.795983
24.55607,-81.77767
26.08791,-80.17045
28.0545,-82.41381
25.70109,-80.29338
28.0545,-82.41381
24.564083,-81.795433
24.564083,-81.795433
26.08791,-80.17045
26.08791,-80.17045
26.449596,-82.0998
25.381428,-80.610466
28.717276,-81.48452
28.702024,-81.255943
25.38228,-80.60791
27.989672,-82.722023
26.44,-82.05
24.665222,-81.256911
26.807938,-80.172463
28.833937,-82.33943
28.181456,-82.583527
26.266983,-80.188155
27.14937,-82.451928
26.222596,-81.785449
26.973554,-81.89106
28.887367,-81.975246
25.665781,-80.300441
27.138795,-82.360434
25.450156,-80.440317
28.406759,-81.587212
27.728387,-82.652549
29.642175,-82.402122
28.656283,-80.777145
25.755675,-80.766074
25.79062,-80.24893
28.074988,-82.37462
27.782436,-80.453064
28.074387,-82.373837
29.642996,-82.615933
26.978708,-80.083925
26.436697,-82.125858
26.258454,-80.087043
25.870906,-80.127333
25.898401,-81.47205
27.884743,-82.592256
28.066338,-82.401858
26.000533,-80.256012
25.513659,-80.383226
28.47242,-81.471022
28.059844,-82.411419
27.84787,-82.718812
28.1,-82.65
28.564742,-81.233383
25.745929,-80.554956
26.028832,-80.412734
28.685567,-81.243753
25.649559,-80.228388
28.148164,-82.236587
29.770028,-82.371735
26.471903,-82.152181
25.757447,-80.444887
28.420537,-81.579072
27.411383,-82.658372
25.988063,-81.596797
28.603528,-81.199555
27.446706,-80.325606
28.640166,-80.735838
28.066253,-82.412083
24.692353,-81.085384
25.97256,-81.554653
28.534686,-82.650141
27.986885,-82.766769
28.070697,-82.377762
24.81284,-80.821871
28.161322,-80.601911
26.943102,-80.075897
25.692677,-80.370772
28.070271,-82.377663
28.369326,-81.552646
28.070174,-82.378728
26.067619,-80.233103
26.298387,-81.738133
26.450975,-80.172512
26.034208,-80.189737
29.504692,-82.279823
25.769232,-80.235094
25.76168,-80.19179
29.897712,-81.311772
26.323737,-80.077597
28.008885,-82.677471
29.894962,-81.313741
26.374278,-81.6073
27.283105,-82.520767
28.659688,-81.330445
25.630006,-80.315528
28.072922,-82.372703
28.473033,-80.718597
25.618519,-80.321778
26.017247,-81.758903
28.533959,-81.194558
29.643263,-82.616009
29.49618,-81.136847
