decimalLatitude,decimalLongitude
26.106159,-80.131874
26.223074,-80.090409
27.243637,-80.226975
26.379263,-80.098656
25.89791,-80.199321
26.204172,-80.191925
26.32382,-80.077644
26.101723,-80.113913
26.003984,-80.33626
26.586522,-80.155103
25.758592,-80.195223
25.737074,-80.309181
25.888628,-80.184958
26.212606,-80.288702
24.546101,-81.811935
26.126471,-80.136696
24.6553,-81.279732
26.353682,-80.091562
24.776137,-80.90998
25.738967,-80.353417
25.922317,-80.128373
24.716778,-81.075206
25.755087,-80.372911
25.778748,-80.327496
24.553873,-81.756847
24.572986,-81.749196
26.461228,-80.058053
26.099336,-80.277663
25.093778,-80.44358
25.795256,-80.135794
26.677747,-80.049728
26.144687,-80.307435
26.380596,-80.14444
26.7257,-80.038
26.7257,-80.038
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
29.86,-82.83
25.740005,-80.169462
26.529375,-80.04723
25.952869,-80.161312
26.111539,-80.386718
25.687587,-80.31888
25.862086,-80.323481
26.494417,-80.151772
26.137292,-80.108933
25.738725,-80.237678
24.573513,-81.749292
25.773682,-80.309088
26.86792,-80.049928
25.893634,-80.264821
26.073638,-80.272268
25.567178,-80.242781
25.969325,-80.148212
26.17045,-80.101547
28.482742,-81.421175
25.775745,-80.131294
25.7251,-80.444159
26.38406,-80.067002
24.808417,-80.833022
24.548303,-81.810097
26.215003,-80.091251
28.209657,-80.672656
25.803611,-80.204167
24.697206,-81.34799
26.828853,-80.043747
24.732675,-81.017297
26.825378,-80.043345
24.655567,-81.278628
26.573451,-80.181461
25.140458,-80.401008
25.956826,-81.713273
25.913327,-80.332771
26.499493,-80.212273
26.614612,-80.048333
25.382098,-80.609362
25.955297,-81.725412
26.012614,-80.172562
28.329791,-80.608076
26.756505,-80.052383
26.714514,-80.033346
26.777283,-80.03263
25.795654,-80.135654
25.943445,-81.732192
25.79941,-80.133083
27.466972,-80.30189
24.545945,-81.812363
26.499515,-80.212252
28.368851,-81.557922
25.805247,-80.204766
26.129839,-80.108756
25.175846,-80.367968
24.767161,-80.946048
25.133347,-80.3983
26.724051,-80.149551
26.736154,-80.824852
25.761656,-80.19179
24.900852,-80.654704
26.978234,-80.053456
26.038412,-80.119795
28.356867,-80.607812
26.013707,-80.362711
26.126338,-80.40184
26.091192,-80.156411
25.731795,-80.370742
26.061018,-80.27444
24.569194,-81.773868
26.803539,-80.376536
24.809725,-80.74029
27.892598,-82.847813
26.099877,-80.106775
25.80634,-80.204801
24.558917,-81.798728
25.125255,-80.407082
26.086952,-81.733017
26.280784,-80.108478
26.666842,-80.069228
25.125115,-80.406446
26.302064,-80.077808
25.175723,-80.367751
27.946984,-82.46039
25.125246,-80.406076
25.382085,-80.609388
28.4,-80.6
28.686905,-80.87748
26.092925,-80.157469
26.302064,-80.077808
24.554094,-81.799975
24.723854,-81.050465
25.747942,-80.337508
26.360187,-80.137055
26.27498,-80.277325
26.481574,-80.083143
26.124539,-80.240988
24.546755,-81.810474
26.188713,-80.120491
26.499987,-80.212104
26.184346,-80.105014
26.339507,-80.073115
25.835222,-80.197229
26.760492,-81.825264
26.093987,-80.324445
28.37525,-80.605969
25.937778,-81.698685
25.754967,-80.372977
25.940396,-80.150252
24.546026,-81.810259
24.573388,-81.747857
26.123878,-80.201792
26.98428,-82.095222
25.731468,-80.240498
26.792058,-80.032653
24.573176,-81.748672
26.064346,-80.384165
25.701288,-80.406006
25.911734,-80.141164
26.916534,-80.066666
26.235837,-80.275605
25.125237,-80.406189
25.702309,-80.288394
26.50057,-80.051971
28.312399,-80.61061
24.849187,-80.740833
24.573574,-81.748967
25.771413,-80.138153
25.790494,-80.213203
28.356863,-80.607733
24.563128,-81.724714
24.724345,-81.02323
25.777867,-80.310323
26.393703,-81.868142
26.12406,-80.2257
26.825435,-80.041595
25.658705,-80.423683
26.602442,-80.050065
26.250103,-80.085218
25.795536,-80.136147
24.547202,-81.786033
26.004738,-80.288667
24.950387,-80.595798
25.10277,-80.4324
26.189749,-80.095281
26.73988,-80.108139
24.556538,-81.793503
26.223361,-80.090186
25.078589,-80.461408
25.767086,-80.270455
27.579481,-82.576662
26.129994,-81.806252
25.077186,-80.461587
26.445235,-81.934433
26.382502,-80.089165
24.988541,-80.542853
25.789572,-80.134261
26.32845,-80.108037
25.968596,-80.160843
26.077858,-80.381616
24.556917,-81.800637
26.240757,-80.145465
26.012302,-80.206777
25.972106,-80.131841
26.826337,-80.665571
25.988194,-80.117577
24.548605,-81.794603
27.649702,-80.363593
25.674306,-80.374804
25.011473,-80.514873
26.317383,-80.075386
25.946374,-80.308118
26.018738,-80.301481
25.973303,-80.130659
26.181887,-80.125974
25.883554,-80.131062
26.019,-80.299622
26.104732,-80.148931
25.176049,-80.369453
26.584461,-80.041555
25.702309,-80.288394
26.118683,-80.173302
26.018278,-80.355597
26.12119,-80.356092
26.302064,-80.077808
26.480916,-82.179041
28.572449,-80.861023
25.73267,-80.164873
24.547153,-81.81215
24.692353,-81.085384
25.828889,-80.131527
24.852075,-80.738914
25.733038,-80.270961
26.702385,-80.033126
25.124911,-80.40567
26.705405,-80.033211
25.944333,-80.30548
25.727663,-80.23442
27.324645,-82.433462
26.753921,-80.944429
28.367849,-80.68282
25.119567,-80.409911
24.545539,-81.809245
24.77487,-80.91122
26.097756,-80.277078
25.793042,-80.212012
26.021809,-80.298421
26.305946,-80.212573
26.942775,-80.081214
27.885454,-82.851468
25.883355,-80.293708
26.632702,-80.297016
24.950632,-80.595416
25.382532,-80.609404
25.094008,-80.443712
26.584748,-80.04155
26.424262,-80.17084
26.713619,-80.161173
25.983763,-80.118131
25.191672,-80.356571
26.061756,-80.312355
26.428658,-80.093486
24.720272,-81.064276
26.15232,-80.141862
26.78075,-80.291624
26.58483,-80.041464
26.988019,-82.101725
24.66886,-81.387187
26.023108,-80.326325
24.8518,-80.738425
26.103189,-80.353
26.520592,-82.192446
26.302064,-80.077808
24.96048,-80.569509
26.03718,-80.119787
26.10547,-80.105583
25.91316,-81.726263
26.274861,-80.27748
24.636148,-81.348453
26.422645,-80.080711
24.84639,-80.745686
25.142795,-80.9226
24.918915,-80.635704
26.883833,-80.105167
26.119167,-80.150178
26.499208,-80.212455
25.986076,-80.30356
24.730862,-81.031294
25.756422,-80.287788
24.546517,-81.811867
26.084075,-80.147444
25.637279,-80.453069
25.125095,-80.405455
25.75877,-80.372796
26.250192,-80.364019
24.918861,-80.635513
26.20416,-80.191911
26.453238,-80.147469
26.020938,-80.300007
24.5528,-81.790607
25.908672,-80.14028
25.640648,-80.343118
24.74282,-80.982846
26.466957,-80.057396
26.275131,-80.277208
25.124339,-80.407158
26.013937,-80.362311
24.942105,-80.60595
25.154093,-80.387448
25.704882,-80.457876
26.110645,-80.304328
26.099322,-80.27765
25.286616,-80.898651
26.131065,-80.132698
24.71513,-81.075814
25.954907,-80.127454
27.61318,-80.372927
25.698064,-80.281417
25.977842,-80.118286
25.9217,-81.727701
24.845992,-80.702927
26.129578,-80.204555
26.668317,-80.069992
25.091739,-80.43847
24.547287,-81.80936
25.813813,-80.128533
26.29808,-80.148536
26.125768,-80.106147
24.575168,-81.746156
26.093491,-80.237155
25.893172,-80.211862
24.950632,-80.595416
25.920751,-80.174591
24.718936,-81.023331
25.761656,-80.19179
25.395308,-80.583511
25.687332,-80.307423
25.796068,-80.199657
25.140463,-80.401872
26.323771,-80.077593
25.123303,-80.409037
24.546666,-81.812291
26.038403,-80.119341
24.548375,-81.798805
26.15451,-80.2266
26.070643,-80.202559
24.562622,-81.776367
25.857289,-81.385886
26.395477,-80.044669
25.95864,-80.062152
25.160374,-80.47765
25.717465,-80.294857
25.866557,-81.383811
26.186989,-80.267446
25.790347,-80.171005
28.103047,-82.779717
26.092792,-80.157455
25.733328,-80.162553
25.970071,-80.149049
26.111761,-80.374101
26.120667,-80.1355
28.302195,-80.612976
25.757847,-80.237434
26.299537,-80.260672
26.267088,-80.188142
26.380384,-80.249176
26.068865,-80.167953
25.183163,-80.390122
24.692199,-81.085077
25.803045,-80.194953
26.485732,-80.162057
25.955738,-80.127178
26.10967,-80.417808
26.210962,-80.100905
26.482308,-82.178513
26.880444,-80.055085
26.34577,-80.167565
26.951666,-80.080002
25.733277,-80.371902
25.72887,-80.236503
25.804037,-80.126411
25.14049,-80.401978
26.540513,-80.091811
25.733656,-80.228616
25.825661,-80.179003
26.087432,-80.110479
26.10497,-80.184593
26.715342,-80.053375
24.546781,-81.811144
26.252002,-80.178935
25.382566,-80.609406
26.157356,-80.277633
26.839087,-80.104408
26.018978,-80.300566
27.46081,-80.314371
26.498002,-80.221855
25.70037,-80.361198
25.97066,-80.149439
25.797603,-80.127944
25.032835,-80.504124
26.099911,-80.27592
25.811111,-81.363503
26.13067,-80.105958
25.688229,-80.367562
25.934187,-80.282188
24.740295,-80.981227
26.118439,-80.149048
24.775203,-80.911963
26.323625,-80.077683
25.81077,-80.338608
25.732205,-80.161994
24.733203,-81.018861
26.988138,-82.097664
26.010541,-80.273112
26.932379,-80.074425
28.319522,-80.610262
25.88643,-80.160465
26.094214,-80.250459
25.976164,-80.119942
26.007862,-80.354371
25.925007,-81.72412
24.545845,-81.810747
25.028008,-80.512855
26.663384,-80.170486
25.845412,-81.386255
25.094796,-80.448497
26.149561,-80.143869
24.54854,-81.812058
25.049569,-80.487702
28.356593,-80.607537
25.706068,-80.37442
25.854582,-81.38377
26.378791,-80.06889
26.118002,-80.143417
24.546317,-81.809871
28.337358,-80.607728
26.318412,-80.099766
25.880828,-80.188958
25.968681,-80.160945
24.545326,-81.812017
26.853973,-80.067641
26.890995,-80.114942
25.795558,-80.135618
26.0994,-80.377787
25.82677,-80.281073
25.705061,-80.248258
25.191178,-80.255123
26.305798,-80.212853
26.479909,-82.1803
25.68492,-80.366424
25.754408,-80.300842
24.713698,-81.080336
26.871562,-80.052322
25.692687,-80.363188
26.118622,-80.380677
25.45022,-80.475683
26.809718,-80.108766
24.54897,-81.796638
26.318412,-80.099766
25.910283,-80.140189
26.296622,-80.167373
28.070183,-80.562516
25.091134,-80.436902
26.352791,-80.138281
27.844877,-80.545102
25.889159,-80.343813
26.485616,-80.162015
25.979122,-80.155633
26.115032,-80.158201
24.559445,-81.80368
26.268359,-80.25066
28.35745,-80.610059
25.233099,-80.330794
25.80953,-80.195313
26.083591,-80.179902
26.018109,-80.323544
25.142064,-80.399933
26.240558,-80.145939
25.791245,-80.212785
26.020704,-80.279203
26.212861,-80.249771
26.036469,-80.117882
26.788616,-80.033051
26.75382,-80.946578
26.113667,-80.412247
25.732038,-80.162164
26.695923,-80.070655
26.218988,-80.233495
24.570288,-81.753455
26.098814,-80.182267
26.666392,-80.069442
25.717472,-80.28521
26.014283,-80.362915
25.837201,-80.200883
25.731699,-80.16309
24.691913,-81.085747
26.092761,-80.227007
26.29991,-80.113367
26.018969,-80.299902
24.65492,-81.279983
24.710693,-81.098731
25.886582,-80.160193
26.089558,-80.192413
24.950394,-80.594729
26.106286,-80.105308
29.157654,-81.148051
25.795206,-80.135144
26.724342,-80.049562
27.46251,-80.305137
27.221753,-81.261781
26.088392,-80.178094
24.547296,-81.809091
25.912223,-80.332723
28.130189,-80.631644
26.018607,-80.301652
26.274895,-80.277382
24.649928,-81.441812
25.796559,-80.135488
26.301578,-80.141983
25.755422,-80.372184
26.617488,-80.086564
24.978459,-80.55125
27.892735,-82.847699
25.175942,-80.369636
25.70153,-80.371124
25.758538,-80.373162
26.019454,-80.300394
26.415774,-80.165365
26.051692,-80.145439
26.018477,-80.302337
27.256875,-80.285775
28.41189,-81.56144
25.191898,-80.356481
25.726978,-80.426311
24.692353,-81.085384
25.736712,-80.371397
25.755159,-80.373
25.9502,-80.145547
25.795853,-80.13623
26.202848,-80.136482
25.970092,-80.148955
24.561225,-81.80487
25.80549,-80.203728
25.023333,-80.495
24.557539,-81.787941
25.881797,-80.189675
26.671378,-80.229317
25.802305,-80.124533
25.735036,-80.338388
26.581847,-80.088447
26.342585,-80.110201
26.730151,-80.065171
26.887962,-80.115814
26.344756,-80.126497
26.068232,-80.339102
26.888547,-80.117583
26.16053,-80.10179
26.318412,-80.099766
25.093804,-80.441633
26.094142,-80.250328
25.880858,-80.179467
27.459612,-80.313248
26.009258,-80.115355
26.093983,-80.324469
26.509509,-82.18916
24.683253,-81.351662
25.93298,-81.716019
25.093017,-80.443668
26.584478,-80.041494
26.839133,-80.109886
