decimalLatitude,decimalLongitude
24.578573,-81.77296
26.722088,-80.050573
25.791283,-80.146452
26.039714,-80.175519
24.547041,-81.808907
26.135553,-80.104422
26.60058,-81.949005
26.479159,-80.142798
26.47821,-80.143249
26.024493,-80.240287
26.460413,-81.773403
26.037181,-80.17112
26.80613,-80.035233
26.629889,-80.092343
25.758403,-80.373672
26.499273,-80.212371
25.733529,-80.367361
25.909208,-80.139111
25.901451,-80.163746
24.952505,-80.586892
26.383251,-80.068633
26.252741,-80.176752
25.176545,-80.369392
26.198254,-80.277313
25.692433,-80.370553
25.781424,-80.277927
25.004008,-80.529822
25.974333,-80.257912
25.062579,-80.546807
26.47227,-82.140633
25.703741,-80.157773
25.698869,-80.364624
26.667878,-80.29383
24.720974,-81.018683
26.07574,-80.323856
25.733497,-80.160479
26.447757,-82.045554
24.573345,-81.749008
25.779719,-80.277574
26.47786,-80.146474
25.702769,-80.158503
26.181845,-80.126221
25.6737,-80.1575
25.6737,-80.1575
25.6737,-80.1575
25.608441,-80.397673
26.519514,-80.182059
25.986074,-80.121849
25.776693,-80.307646
25.7732,-80.185312
26.204494,-81.790245
25.599007,-80.389826
26.083631,-80.248895
26.486112,-80.161388
25.71795,-80.280374
24.546323,-81.810808
25.604545,-80.401947
25.743841,-80.211529
25.84878,-80.145446
26.478782,-80.144597
25.74398,-80.210372
26.44486,-82.048312
26.108428,-80.105177
26.124092,-80.390647
26.036786,-80.270959
25.747178,-80.14653
26.043012,-80.229082
26.107781,-80.227463
26.137261,-80.349263
25.900668,-80.16251
24.674655,-80.81611
25.629931,-80.317904
26.478686,-80.143084
26.776133,-80.032438
25.58304,-80.47836
26.370407,-80.099898
26.120619,-80.140457
26.550262,-80.084308
24.82617,-80.814619
26.390058,-80.113149
26.607011,-80.14032
25.756711,-80.371062
26.614892,-80.04815
25.67593,-80.274283
25.610869,-80.402917
26.190662,-80.094994
26.440915,-82.054911
26.013607,-80.278487
26.432793,-81.482327
26.087432,-80.110479
24.54545,-81.80883
25.693197,-80.361725
24.585031,-81.756035
26.200263,-81.803178
25.734387,-80.310338
25.137702,-80.402455
25.795687,-80.186242
25.803696,-80.36306
25.753923,-80.195366
26.433535,-80.080851
25.608142,-80.403421
25.748659,-80.205916
26.667806,-80.069464
25.605293,-80.401606
26.06181,-80.44884
26.36977,-80.100135
26.478322,-80.143892
26.366196,-80.070204
26.335221,-80.162043
25.534722,-80.493888
26.075444,-80.322447
26.485467,-80.162267
25.076889,-80.459709
25.941384,-80.153305
24.547257,-81.812239
26.431428,-82.054047
26.144913,-80.105577
26.47786,-80.146474
25.661344,-80.282858
25.692122,-80.352081
25.6071,-80.310334
25.96104,-80.142286
24.824026,-80.813678
25.726276,-80.239658
26.17254,-80.138405
26.19625,-80.256515
26.432888,-81.923707
26.106504,-80.132046
26.105567,-80.269517
25.881145,-80.127036
26.122439,-80.137317
25.122345,-80.41697
26.189729,-80.10302
25.720458,-80.275788
25.704211,-80.158558
26.190313,-80.114765
25.802087,-80.126346
24.693101,-81.079398
26.252002,-80.178935
26.464343,-82.113742
26.318412,-80.099766
26.059742,-80.302722
26.477501,-80.141945
24.550686,-81.800011
26.882211,-80.060837
25.982577,-80.158025
24.546716,-81.811117
28.418608,-81.412033
24.900228,-80.653992
25.027157,-80.494232
26.343663,-80.228153
25.998178,-80.2817
26.01762,-80.296647
25.719622,-80.374375
25.722757,-80.273619
25.074094,-80.465807
25.739263,-80.167678
26.605808,-80.082414
26.499286,-80.21234
26.218581,-80.233211
25.703498,-80.157555
25.767711,-80.188122
25.853278,-80.193633
26.478179,-80.143047
26.527617,-82.194817
25.849113,-80.145129
26.12667,-80.274453
24.547406,-81.790475
26.412314,-80.096533
27.240541,-80.259383
25.984599,-80.128155
25.725962,-80.323508
25.103472,-80.440033
25.136856,-80.402978
26.085303,-80.149287
26.047608,-80.158342
25.910896,-80.137566
26.17629,-80.118999
25.909467,-80.138703
24.697957,-81.350501
25.69172,-80.386958
26.012031,-80.314955
26.151387,-80.28338
25.109338,-80.425593
26.485467,-80.162267
25.733005,-80.162436
24.566303,-81.772758
26.444109,-82.047897
25.686139,-80.384608
26.302064,-80.077808
25.747772,-80.14571
25.965939,-80.124588
26.104647,-80.108788
26.461725,-80.101435
25.676978,-80.273356
26.273317,-80.220274
26.368889,-80.202499
25.462742,-80.335941
26.240457,-80.146094
26.011069,-80.137672
25.737074,-80.309181
25.87721,-80.251487
24.546659,-81.811136
26.605532,-80.136337
26.085612,-80.271949
26.437863,-82.112403
26.487941,-80.161325
25.825109,-80.436476
26.543343,-81.997032
25.908672,-80.14028
26.30802,-80.158058
26.021672,-80.322403
26.072968,-80.168938
26.122721,-80.106267
26.723031,-80.115917
25.724931,-80.24001
26.061726,-80.111428
25.672852,-80.326469
25.939112,-80.301125
25.691895,-80.305305
24.551361,-81.777756
26.150897,-80.143692
25.6893,-80.284912
24.562278,-81.678822
25.666034,-80.357827
26.478797,-80.143271
24.547197,-81.808412
25.875413,-80.129464
25.532458,-80.492522
25.098478,-80.440751
26.223242,-80.131469
24.670686,-81.371614
26.30123,-80.217343
24.560648,-81.76422
26.674413,-80.094672
26.2618,-80.175863
26.451624,-80.104541
26.404419,-81.829806
26.458108,-82.09927
26.664236,-80.069251
26.100595,-80.274256
25.747198,-80.144848
25.911975,-80.13765
26.113851,-80.304078
25.91197,-80.137619
25.704063,-80.157016
26.477862,-80.146476
24.711422,-81.100035
24.919526,-80.630648
26.491626,-80.102538
24.816106,-80.823052
26.49654,-80.214636
27.424867,-80.328929
26.867931,-80.050119
25.692622,-80.37082
25.767375,-80.195567
24.845494,-80.747352
25.986839,-80.251608
26.442042,-81.92886
26.669997,-80.144408
25.795189,-80.135178
25.803945,-80.122054
25.7428,-80.21163
26.478158,-80.143524
25.692822,-80.370103
26.496559,-80.217297
24.811713,-80.826542
26.1223,-80.1434
24.963624,-80.582014
26.478147,-80.143352
24.916945,-80.636112
25.609887,-80.397048
25.670217,-80.286301
25.011846,-80.515301
24.866064,-80.713104
26.478317,-80.144744
24.550169,-81.806213
24.70565,-81.380317
25.781773,-80.277542
26.107264,-80.225608
26.238016,-80.124767
25.85832,-80.125236
26.018999,-80.159233
26.839598,-80.101914
25.748722,-80.14243
24.558081,-81.787461
25.67641,-80.271115
25.899596,-80.165665
26.265492,-80.170777
26.486158,-80.160756
24.849108,-80.740729
25.99881,-80.389061
27.817269,-80.516615
26.453009,-81.947522
26.302064,-80.077808
26.82243,-80.087402
26.698978,-81.831841
24.550193,-81.792083
24.546596,-81.810894
26.106186,-80.131842
26.070174,-80.175258
25.947083,-81.72477
25.485872,-80.541412
26.138036,-80.136108
25.608306,-80.403339
27.115133,-82.384195
26.188694,-80.142227
25.447322,-80.502563
25.70719,-80.424596
26.239184,-80.184568
25.713621,-80.154136
26.18475,-80.147399
24.711395,-81.103241
26.542186,-80.088316
25.459122,-80.336101
25.909728,-80.138503
26.018993,-80.301693
25.909917,-80.13855
25.689117,-80.285737
26.428089,-80.157486
26.083751,-80.110498
26.478313,-80.143513
26.478178,-80.145661
25.772925,-80.308157
26.81464,-80.089825
26.460869,-82.152684
26.112401,-80.239404
24.860627,-80.731535
25.674494,-80.284217
25.856874,-80.125828
25.791071,-80.131103
26.210602,-80.230264
26.451768,-81.941216
26.478203,-80.14363
25.825679,-80.305748
25.692238,-80.173417
26.051374,-80.134139
25.910053,-80.137069
25.534485,-80.492922
26.138997,-80.105469
